ID,title
GM T-60064-00,Bram Stoker's Dracula (Alt 2)
GM T-60064-10,WonderMega Collection (Rev 2)
GM T-60074-00,Wonder Dog
GM T-60075-00,Star Wars - Rebel Assault
GM T-60085-00,Dungeon Master II - Skullkeep (RE3)
GM T-6009-100,Switch
GM T-60094,Jaguar XJ220
GM T-60094-00,Jaguar XJ220
GM T-60095-00,Dungeon Master II - Skullkeep
GM T-60104-00,Wolfchild
GM T-60114-00,Keiou Yuugekitai
GM T-60124-00,Jangou World Cup
GM T-60134-00,Thunderhawk (Demo)
GM T-60144-00,Dungeon Master II - Skullkeep
GM T-60145-00,Heimdall
GM T-60164-00,Microcosm
GM T-60165-00,Fatal Fury Special
GM T-60165-50,Fatal Fury Special (Demo)
GM T-60174-00,Star Wars - Rebel Assault
GM T-60175-50,Samurai Shodown
GM T-60185-00,Keio Flying Squadron
GM T-60194-00,Battlecorps
GM T-60214-00,Garou Densetsu Special
GM T-6207-00,Road Avenger
GM T-6214-00,Time Gal
GM T-6300-01,"Adventures of Willy Beamish, The (Alt)"
GM T-6400,Blackhole Assault
GM T-6401,Blackhole Assault (Alt)
GM T-6402,Wonder Dog (RE)
GM T-6403-00,Wolfchild
GM T-6406-00,Jaguar XJ220
GM T-66014-00,Dennin Aleste - Nobunaga and His Ninja Force
GM T-66024-00,Shadowrun
GM T-66666-01,TimeCop (Demo)
GM T-68014-00,After Burner III
GM T-68024-00,Might and Magic III - Isles of Terra
GM T-70015-00,"Terminator, The"
GM T-70025-00,Heart of the Alien - Out of This World Parts I and II (RE)
GM T-70045-00,Chuck Rock II - Son of Chuck
GM T-70065-00,Dune
GM T-70095-00,Links - The Challenge of Golf (RE)
GM T-71014-00,F1 Circus CD
GM T-75014-00,Eye of the Beholder
GM T-76014-00,Sangokushi III
GM T-76024-00,Nobunaga no Yabou - Haouden
GM T-76044-00,Winning Post
GM T-76054-00,Aoki Ookami to Shiroki Mejika - Genchou Hishi
GM T-79025-00,World Cup USA '94
GM T-79035-00,Flashback - The Quest for Identity
GM T-81015-00,WWF Mania Tour - WWF - Rage in the Cage
GM T-81025-00,Mortal Kombat
GM T-81035-00,NBA Jam
GM T-81045-00,Demolition Man
GM T-83015-00,Brutal - Paws of Fury
GM T-83015-50,Brutal - Paws of Fury
GM T-84024-00,Psychic Detective Series Vol. 3 - Aya
GM T-84034-00,Psychic Detective Series Vol. 4 - Orgel
GM T-86015-00,A-X-101 (RE)
GM T-86025-00,RDF - Global Conflict
GM T-87015-00,"Animals!, The"
GM T-87025-00,MegaRace
GM T-87035-00,"Software Toolworks' Star Wars Chess, The"
GM T-88025-50,Marko's Magic Football
GM T-88035-00,Battle Frenzy (Unl)
GM T-88045-50,Bloodshot ~ Battle Frenzy
GM T-88055-50,Theme Park
GM T-88065-50,Syndicate
GM T-89015-00,Trivial Pursuit
GM T-92014-00,Alshark
GM T-93045-00,Chuck Rock
GM T-93055-50,Hook
GM T-93065-00,Bram Stoker's Dracula (Version 2.0)
GM T-93075-01,Cliffhanger
GM T-93085-00,Wheel of Fortune
GM T-93095-00,Jeopardy!
GM T-93115-50,ESPN Baseball Tonight
GM T-93145-00,Ground Zero Texas (Disc 2)
GM T-93155-00,Mary Shelley's Frankenstein
GM T-93175-00,3 Ninjas Kick Back
GM T-93185-00,Sensible Soccer
GM T-93215-00,ESPN National Hockey Night
GM T-93245-00,ESPN NBA Hangtime '95
GM T-93265-00,Mickey Mania - The Timeless Adventures of Mickey Mouse
GM T-93305-00,Mickey Mania
GM T-93325-00,Ultraverse Prime
GM T-95014-00,Lethal Enforcers
GM T-95015-00,Lethal Enforcers
GM T-95025-00,Lethal Enforcers II - Gun Fighters (Demo)
GM T-95034-00,Lethal Enforcers II - The Western
GM T-95035-00,Snatcher
GM T-999999-50,Psygnosis Christmas Sampler (Alt)
GM TMM-00000-00,Sonic MegaMix (Unl)
MK 4603-50,Road Avenger
MK-4423-00,Wonder Dog
XX 00000000-00,Wakusei Woodstock - Funky Horror Band
