ID,title
KOEI-20123,Musou Orochi: Treasure Box
KOEI-20125,Musou Orochi Super Premium Pack
KOEI-20129,Sengoku Musou 2 & Sengoku Mushou 2 Moushouden Premium Pack
KOEI-20130,Sengoku Musou 2 Super Premium Pack
KOEI-20131,Sengoku Musou 2 Moushouden: Treasure Box
KOEI-20134,Kin'iro no Koruda 2: Encore [Premium Box]
KOEI-20135,Kin'iro no Koruda 2: Encore [Premium Box]
KOEI-20136,Kin'iro no Koruda 2 + Kiniro no Corda 2 Encore [Twin Pack]
KOEI-20147,Musou Orochi: Maou Sairrin (Premium Box)
KOEI-20148,Harukanaru Toki no Naka de 4 [Premium Box]
KOEI-20149,Harukanaru Toki no Naka de 4 [Treasure Box]
KOEI-20153,Neo Angelique Full Voice [Super Premium Box]
KOEI-20162,Harukanaru Toki no Naka de: Yume no Ukihashi Special [Premium Box]
KOEI-20163,Harukanaru Toki no Naka de: Yume no Ukihashi Special [Treasure Box]
KOEI-20175,Kin'iro no Koruda 3 [Premium Box]
KOEI-20176,Kin'iro no Koruda 3 [Treasure Box]
KOEI-65247,Sangokushi no Sekai Duo: Treasure Box [3 Discs]
KOEI-65251,Shin Sangoku Musou 3: Treasure Box
KOEI-SP001,Shin Sangoku Musou 2 & Shin Sangoku Musou: Koei 2002 Spring Pack  [2 DISCS]
KOEI-SP002,Koei 2002 Spring Pack: Sangokushi VII / Sangokushi VIII
KOEI-SP004,Harukanaru Toki no Naka de 2 & 1 [Koei 2002 Spring Pack]
KTW-00002,NEO ANGELIQUE
LDTL-00003,Linux (for PlayStation 2) Release 1.0 (Disc 2) (Software Packages)
LDTL-00004,Linux (for PlayStation 2) Release 1.0 (Disc 2) (Software Packages)
MH-051013,Tengai Makyou III: Namida (Limited Edition)
MH051013,Tengai Makyou III: Namida: Deluxe Pack
MJP2-00605,Moujuutsukai to Oujisama [Limited Edition]
MTP2-11021,Moujuutsukai to Oujisama [Twin Pack]
NBGI-0004,Gundam Musou 2: Treasure Box
NMP2-00701,Natsuzora no Monologue [Limited Edition]
NPC-106,Vampire Night + G-Con2
P-00001,Pia Carrot e Youkoso!! G.O. Summer Fair [Dinner Pack]
P-00002,Hoshiful: Hoshi no furu machi [Limited Edition]
P-00007,Canvas 3: Tanshoku no Pastel [Limited Edition]
PAPX-90201,Fantavision
PAPX-90202,I.Q Remix+: Intelligent Qube
PAPX-90203,Gran Turismo 2000
PAPX-90204,TVDJ
PAPX-90205,Dark Cloud
PAPX-90206,Blood: The Last Vampire
PAPX-90207,Gran Turismo 3: A-Spec: Autobacs Gentei Replay Theater
PAPX-90208,Gran Turismo 3: A-Spec: Replay Theater
PAPX-90209,Gran Turismo 3: A-Spec: Netz Toyota: Replay Theater Disc
PAPX-90210,Yappa RPG desho.
PAPX-90211,Extermination
PAPX-90212,Boku to Maou
PAPX-90213,Phase Paradox
PAPX-90215,Ka
PAPX-90216,Bravo Music
PAPX-90218,SkyGunner
PAPX-90220,Surveillance: Kanshisha
PAPX-90222,Jak x Daxter: Kyuu Sekai no Isan
PAPX-90223,Jak x Daxter: Kyuu Sekai no Isan
PAPX-90224,Sidewinder F
PAPX-90225,Legaia: Duel Saga: Special Disc
PAPX-90226,Otostaz
PAPX-90228,Otostaz
PAPX-90229,XI [sái]: XI-Go
PAPX-90230,Arc the Lad: Seirei no Tasogare: Premiere Disc
PAPX-90231,Kaitou Sly Cooper
PAPX-90232,Chain Dive
PAPX-90233,Bakusou Mountain Bikers
PAPX-90234,Katamari Damacy
PAPX-90235,XIII
PAPX-90236,Minna Daisuki Katamari Damacy
PAPX-90330,Saru! Get You! 2: Ukki Ukki Disc
PAPX-90501,Dark Cloud
PAPX-90502,The Yamanote-sen: Train Simulator Real
PAPX-90503,PoPoLoCrois: Tsuki no Okite no Bouken
PAPX-90504,Gran Turismo Concept: Airtrek Turbo Special Edition
PAPX-90505,2002 Natsu no Osusume Soft Otameshi Disc
PAPX-90506,Dark Chronicle
PAPX-90507,Official Disc 2003
PAPX-90508,Gran Turismo 4: Lupo Cup Training Version
PAPX-90511,Siren: Trial Disc
PAPX-90512,Gran Turismo 4: Prius Trial Version
PAPX-90514,Fuyu no Osusume Soft Otameshi Disc
PAPX-90515,Fuyu no Osusume Soft Otameshi Disc 2003-2004
